text	NE_begin	NE_end	NE_id	sentence	work title	Identifier	MiMoTextBase_ID	Wikidata	type
Baasner_1988a	2718	2736	166020	16	Thérèse philosophe	Therese_Boyer		Q1507191	Literary work
Baasner_1988a	6755	6774	166214	33	Burlador de Sevilla	Burlador_Molina		Q2714218	Literary work
Baasner_1988a	10229	10254	165966	56	Die beiden Don-Juan-Typen	Don-Juan_Weinstein			WORK
Baasner_1988a	15791	15800	167465	91	Libertine	Libertine_Dacre		Q25218042	Literary work
Baasner_1988a	16778	16800	166394	96	Die verführte Unschuld	Unschuld_Petriconi			WORK
Baasner_1988a	19433	19466	166424	107	Egarements du cœur et de l'esprit	Egarements_Crebillon		Q3236531	Literary work
Baasner_1988a	21045	21064	166446	115	Princesse de Clèves	Princesse_Fayette		Q1157010	Literary work
Baasner_1988a	23148	23166	166476	126	La vie de Marianne	Marianne_Marivaux		Q3213603	Literary work
Baasner_1988a	23182	23199	166498	126	Le paysan parvenu	Parvenu_Marivaux		Q3225376	Literary work
Baasner_1988a	23352	23378	166520	127	Pamela, or virtue rewarded	Pamela_Richardson		Q2048624	Literary work
Baasner_1988a	24192	24231	166542	133	Clarissa or The History of a Young Lady	Clarissa_Richardson		Q980534	Literary work
Baasner_1988a	30216	30222	166564	172	Pamela	Pamela_Richardson		Q2048624	Literary work
Baasner_1988a	32559	32597	166602	184	Geschichte des Fräuleins von Sternheim	Sternheim_Roche		Q1517346	Literary work
Baasner_1988a	32823	32848	166656	185	an seinen Freund in Paris				Literary work
Baasner_1988a	43082	43089	166694	247	Agathon	Agathon_Wieland		Q1517277	Literary work
Baasner_1988a	43456	43486	166732	249	Floricourt, histoire française	Floricourt_Dorat	Q1441		Literary work
Baasner_1988a	45615	45635	166762	266	Liaisons dangereuses	Liaisons_Laclos	Q1053	Q862050	Literary work
Baasner_1988a	48750	48770	166860	286	Liaisons dangereuses	Liaisons_Laclos	Q1053	Q862050	Literary work
Baasner_1988a	53200	53223	166906	311	Tagebuch des Verführers	Seducteur_Kierkegaard		Q12311959	Literary work
Baasner_1988a	56191	56218	166928	330	Philosophie dans le boudoir	Boudoir_Sade	Q1086	Q1215417	Literary work
Baasner_1988a	56309	56325	166972	330	Aline et Valcour	Aline_Sade	Q1085	Q629452	Literary work
Baasner_1988a	56334	56350	166950	331	Aline et Valcour	Aline_Sade	Q1085	Q629452	Literary work
Baasner_1988a	61419	61435	167002	364	Aline et Valcour	Aline_Sade	Q1085	Q629452	Literary work
Baasner_1988a	61522	61549	167024	364	Philosophie dans le boudoir	Boudoir_Sade	Q1086	Q1215417	Literary work
Baasner_1988a	62370	62397	167054	368	Philosophie dans le boudoir	Boudoir_Sade	Q1086	Q1215417	Literary work
Baasner_1988a	63449	63465	167076	374	Aline et Valcour	Aline_Sade	Q1085	Q629452	Literary work
Baasner_1988a	66901	66915	167106	396	Le monde moral	Monde_Prevost	Q1413		Literary work
Baasner_1988a	67525	67539	167136	400	William Lovell	Lovell_Tieck		Q2579763	Literary work
Baasner_1988a	67632	67639	167158	400	Agathon	Agathon_Wieland		Q1517277	Literary work
Baasner_1988a	72342	72362	167188	424	Jacques le fataliste	Fataliste_Diderot	Q1088	Q945216	Literary work
Baasner_1988a	75242	75262	167218	445	Jacques le fataliste	Fataliste_Diderot	Q1088	Q945216	Literary work
Baasner_1988a	76109	76129	167240	448	Jacques le fataliste	Fataliste_Diderot	Q1088	Q945216	Literary work
Bauer-Funke_1998b	1120	1132	387845	12	Encyclopédie	Encyclopedie_Diderot		Q29386025	WORK
Bauer-Funke_1998b	1801	1813	387867	16	Encyclopédie	Encyclopedie_Diderot		Q29386025	WORK
Bauer-Funke_1998b	7032	7044	387881	51	Encyclopédie	Encyclopedie_Diderot		Q29386025	WORK
Bauer-Funke_1998b	8301	8313	387895	60	Encyclopédie	Encyclopedie_Diderot		Q29386025	WORK
Bauer-Funke_1998b	9750	9762	387917	69	Encyclopédie	Encyclopedie_Diderot		Q29386025	WORK
Bauer-Funke_1998b	10638	10650	387939	76	Encyclopédie	Encyclopedie_Diderot		Q29386025	WORK
Bauer-Funke_1998b	10787	10799	387961	78	Encyclopédie	Encyclopedie_Diderot		Q29386025	WORK
Bauer-Funke_1998b	11341	11363	387983	84	Pensées philosophiques	Pensees_Diderot		Q3374872	WORK
Bauer-Funke_1998b	11397	11449	388005	84	Lettre sur les aveugles à l'usage de ceux qui voient	Aveugles_Diderot		Q3236989	WORK
Bauer-Funke_1998b	11637	11715	388027	85	Lettres sur les sourds et muets à l'usage de ceux qui entendent et qui parlent	Sourds_Diderot		Q24969469	WORK
Bauer-Funke_1998b	11806	11843	388049	86	Entretien entre d'Alembert et Diderot	D'Alembert_Diderot		Q19168285	WORK
Bauer-Funke_1998b	11845	11866	388071	86	Le rêve de d'Alembert	Reve_Diderot		Q3226802	WORK
Bauer-Funke_1998b	11871	11894	388093	86	La suite de l'entretien	Suite_Diderot			WORK
Bauer-Funke_1998b	13241	13256	388107	99	Le fils naturel	Fils_Diderot	Q2328	Q3222842	Literary work
Bauer-Funke_1998b	13331	13358	388129	100	comédie larmoyante Mélanide	Melanide_Chaussee			Literary work
Bauer-Funke_1998b	13691	13721	388159	103	Entretiens sur le fils naturel	Dorval_Diderot			WORK
Bauer-Funke_1998b	13858	13876	388181	104	Le père de famille	Pere_Diderot		Q3226137	Literary work
Bauer-Funke_1998b	14193	14226	388203	107	Discours sur la poésie dramatique	Dramatique_Diderot			WORK
Bauer-Funke_1998b	14518	14542	388225	109	Paradoxe sur le comédien	Paradoxe_Diderot		Q3363343	WORK
Bauer-Funke_1998b	14723	14750	388247	110	Est-il bon? Est-il méchant?	Bon_Diderot		Q3058772	Literary work
Bauer-Funke_1998b	14936	14961	388269	113	Correspondance littéraire	Correspondance_Diderot		Q1135325	WORK
Bauer-Funke_1998b	15098	15104	388291	114	Salons	Salons_Diderot		Q3470190	WORK
Bauer-Funke_1998b	16030	16065	388305	120	Life and Opinions of Tristram Shandy	Tristram_Sterne		Q1164083	Literary work
Bauer-Funke_1998b	16209	16230	388327	121	Les bijoux indiscrets	Bijoux_Diderot		Q1218663	Literary work
Bauer-Funke_1998b	16606	16619	388349	124	La religieuse	Religieuse_Diderot	Q1089	Q1209658	Literary work
Bauer-Funke_1998b	17515	17549	388371	132	Le neveu de Rameau, satire seconde	Neveu_Diderot		Q1336786	Literary work
Bauer-Funke_1998b	18401	18435	388393	139	Jacques le fataliste et son maître	Fataliste_Diderot	Q1088	Q945216	Literary work
Bauer-Funke_1998b	19532	19558	388415	148	Les deux amis de Bourgogne	Bourbonne_Diderot		Q3231984	Literary work
Bauer-Funke_1998b	19766	19802	388437	149	Supplément au voyage de Bougainville	Supplement_Diderot	Q1091	Q1765222	Literary work
Bauer-Funke_1998b	19811	19834	388459	149	Ceci n'est pas un conte	Conte_Diderot		Q2943673	Literary work
Bauer-Funke_1998b	19846	19864	388481	149	Mme de la Carlière	Carliere_Diderot			Literary work
Bauer-Funke_1998b	19892	19928	388503	150	Supplément au voyage de Bougainville	Supplement_Diderot	Q1091	Q1765222	Literary work
Bauer-Funke_1998b	20021	20043	388525	150	Voyage autour du monde	Voyage_Bougainville		Q3563322	WORK
Bauer-Funke_1998b	20273	20298	388555	152	„Les adieux du vieillard“	Supplement_Diderot	Q1091	Q1765222	Literary work
Bauer-Funke_1998b	20455	20492	388577	153	„L'entretien de l'aumônier et d'Orou“	Supplement_Diderot	Q1091	Q1765222	Literary work
Bauer-Funke_1998b	20700	20725	388607	155	„Discours de Polly Baker“	Supplement_Diderot	Q1091	Q1765222	Literary work
Bauer-Funke_1998b	21131	21154	388629	157	Ceci n'est pas un conte	Conte_Diderot		Q2943673	Literary work
Bauer-Funke_1998b	21552	21570	388651	160	Mme de la Carlière	Carliere_Diderot			Literary work
Bauer-Funke_1998b	22312	22324	388695	165	Encyclopédie	Encyclopedie_Diderot		Q29386025	WORK
Bauer-Funke_1998b	22385	22397	388717	166	Encyclopédie	Encyclopedie_Diderot		Q29386025	WORK
Bauer-Funke_1998b	22444	22456	388739	167	Encyclopédie	Encyclopedie_Diderot		Q29386025	WORK
Bauer-Funke_1998b	22484	22594	388761	168	Encyclopédie ou Dictonnaire raisonné des sciences, des arts et des métiers, par une société de gens de lettres	Encyclopedie_Diderot		Q29386025	WORK
Bauer-Funke_1998b	23126	23138	388783	171	Encyclopédie	Encyclopedie_Diderot		Q29386025	WORK
Bauer-Funke_1998b	23426	23438	388805	173	Dictionnaire	Encyclopedie_Diderot		Q29386025	WORK
